N°,Nom de l'établissement,Ville (Contact),Pays,Photos,Statut,Priorite,SITE WEB HH,DROPBOX,APPLICATION HH,Conseillés par Happy house,Écran connecté,Lien Backoffice,Lien Dropbox,Site_Perso,Adresse,CP,Ville (Propriété),Département,Région,Date de création,Statut closing,Téléphone Extrait,Email 1 Extrait,Email 2 Extrait,Alerte Complétude
59,L'Orée des Vignes,PFAFFENHEIM,France,6.0,Non contacte,"=IF(OR(E60<5, H60=""NON"", I60=""NON"", J60=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,PFAFFENHEIM,,,04/11/2025,En cours,06 51 20 73 53 / 03 89 49 55 99,contact@gite-oree-des-vignes.alsace,N/D,"=IF(AND(H60=""OUI"", I60=""OUI"", J60=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
60,La Bastide Rouge,Saint-Geniès-Bellevue,France,14.0,Non contacte,"=IF(OR(E61<5, H61=""NON"", I61=""NON"", J61=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Saint-Geniès-Bellevue,,,31/01/2024,En cours,06 80 80 72 87,olivia.geoffroy@yahoo.fr,N/D,"=IF(AND(H61=""OUI"", I61=""OUI"", J61=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
61,La Bergerie Ariègeoise,Trein D'ustou,France,20.0,Non contacte,"=IF(OR(E62<5, H62=""NON"", I62=""NON"", J62=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Trein D'ustou,,,05/04/2023,En cours,06 60 700 400,contact@my-happy.house,N/D,"=IF(AND(H62=""OUI"", I62=""OUI"", J62=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
62,La Charmeraie,Thésée,France,10.0,Non contacte,"=IF(OR(E63<5, H63=""NON"", I63=""NON"", J63=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Thésée,,,19/03/2025,En cours,06 58 13 45 86,N/D (Formulaire),N/D,"=IF(AND(H63=""OUI"", I63=""OUI"", J63=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
63,La colonelle,Vignec,France,8.0,Non contacte,"=IF(OR(E64<5, H64=""NON"", I64=""NON"", J64=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,Vignec,,,23/01/2024,En cours,05 62 39 50 88,accueil@vignec.fr,N/D,"=IF(AND(H64=""OUI"", I64=""OUI"", J64=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
64,La Ferme de Miramont,Miramont-Sensacq,France,NON,Non contacte,"=IF(OR(E65<5, H65=""NON"", I65=""NON"", J65=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,Miramont-Sensacq,,,17/04/2023,En cours,05 58 79 94 93 / 06 84 78 07 25,contact@lafermedemarsan.com,N/D,"=IF(AND(H65=""OUI"", I65=""OUI"", J65=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
65,La ferme du Mounet,Eauze,France,NON,Non contacte,"=IF(OR(E66<5, H66=""NON"", I66=""NON"", J66=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,Eauze,,,17/04/2023,En cours,05 62 09 82 85,contact@ferme-de-mounet.com,N/D,"=IF(AND(H66=""OUI"", I66=""OUI"", J66=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
66,La ferme du voyageur,La Salle les Alpes,France,14.0,Non contacte,"=IF(OR(E67<5, H67=""NON"", I67=""NON"", J67=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,La Salle les Alpes,,,23/04/2025,En cours,+33428382530,info@entegraps.eu,N/D,"=IF(AND(H67=""OUI"", I67=""OUI"", J67=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
67,La Feuilleraie,Montseret,France,18.0,Non contacte,"=IF(OR(E68<5, H68=""NON"", I68=""NON"", J68=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Montseret,,,24/04/2025,En cours,+33428382530,N/D,N/D,"=IF(AND(H68=""OUI"", I68=""OUI"", J68=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
68,La forge,Montseret,France,12.0,Non contacte,"=IF(OR(E69<5, H69=""NON"", I69=""NON"", J69=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Montseret,,,24/04/2025,En cours,+33428382530,N/D,N/D,"=IF(AND(H69=""OUI"", I69=""OUI"", J69=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
69,La grande maison Mazamet,Mazamet,France,NON,Non contacte,"=IF(OR(E70<5, H70=""NON"", I70=""NON"", J70=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,Mazamet,,,17/04/2023,En cours,09 87 03 23 12 / 06 60 31 82 63,contact@lagrandemaisonmazamet.fr,N/D,"=IF(AND(H70=""OUI"", I70=""OUI"", J70=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
70,La Grange,Saint-Papoul,France,5.0,Non contacte,"=IF(OR(E71<5, H71=""NON"", I71=""NON"", J71=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Saint-Papoul,,,11/05/2023,En cours,06 40 63 88 61 / 06 19 86 55 88,gitesvillagesaintpapoul@gmail.com,N/D,"=IF(AND(H71=""OUI"", I71=""OUI"", J71=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
71,La Grange de Valade,Saint-Antonin-Noble-Val,France,20.0,Non contacte,"=IF(OR(E72<5, H72=""NON"", I72=""NON"", J72=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Saint-Antonin-Noble-Val,,,07/04/2023,En cours,06 07 60 14 61,N/D,N/D,"=IF(AND(H72=""OUI"", I72=""OUI"", J72=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
72,La Jolie Vie,Le Buisson de Cadouin,France,21.0,Non contacte,"=IF(OR(E73<5, H73=""NON"", I73=""NON"", J73=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Le Buisson de Cadouin,,,16/05/2024,En cours,06 70 10 00 05 / 06 09 41 09 10,bienvenue@lajolievie.fr,N/D,"=IF(AND(H73=""OUI"", I73=""OUI"", J73=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
73,La Magnanerie de Dions,Dions,France,12.0,Non contacte,"=IF(OR(E74<5, H74=""NON"", I74=""NON"", J74=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Dions,,,18/04/2023,En cours,06 80 20 90 66,lamagnaneriededions@gmail.com,N/D,"=IF(AND(H74=""OUI"", I74=""OUI"", J74=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
74,La Maison - Grignan,Grignan,France,14.0,Non contacte,"=IF(OR(E75<5, H75=""NON"", I75=""NON"", J75=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Grignan,,,30/04/2025,En cours,+33428382530,N/D,N/D,"=IF(AND(H75=""OUI"", I75=""OUI"", J75=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
75,La maison d'Elhora,Montréal-Les-Sources,France,19.0,Non contacte,"=IF(OR(E76<5, H76=""NON"", I76=""NON"", J76=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Montréal-Les-Sources,,,24/03/2025,En cours,+33428382530,info@entegraps.eu,N/D,"=IF(AND(H76=""OUI"", I76=""OUI"", J76=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
76,La Maison de Clément,Lisle sur Tam,France,15.0,Non contacte,"=IF(OR(E77<5, H77=""NON"", I77=""NON"", J77=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Lisle sur Tam,,,27/11/2025,En cours,05 63 40 47 80,contact@clement-termes.com,N/D,"=IF(AND(H77=""OUI"", I77=""OUI"", J77=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
77,La Maison de Romain,Puycelsi,France,14.0,Non contacte,"=IF(OR(E78<5, H78=""NON"", I78=""NON"", J78=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Puycelsi,,,19/07/2023,En cours,05 63 33 26 63 / 06 37 93 99 42,info@chateau-de-terride.com,N/D,"=IF(AND(H78=""OUI"", I78=""OUI"", J78=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
78,La Maison des Arcades,Verdun-sur-Garonne,France,NON,Non contacte,"=IF(OR(E79<5, H79=""NON"", I79=""NON"", J79=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,Verdun-sur-Garonne,,,17/04/2023,En cours,06 88 55 09 03,N/D,N/D,"=IF(AND(H79=""OUI"", I79=""OUI"", J79=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
79,La Maison des Artistes,Aragon,France,20.0,Non contacte,"=IF(OR(E80<5, H80=""NON"", I80=""NON"", J80=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Aragon,,,14/05/2024,En cours,04 68 11 40 70,contact.11@gites-sud.fr,N/D,"=IF(AND(H80=""OUI"", I80=""OUI"", J80=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
80,La maison des Douceurs,Bussang,France,20.0,Non contacte,"=IF(OR(E81<5, H81=""NON"", I81=""NON"", J81=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Bussang,,,18/06/2024,En cours,06 75 64 37 12,alain@lamaisondesdouceurs.fr,N/D,"=IF(AND(H81=""OUI"", I81=""OUI"", J81=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
81,La maison du château,Belesta,France,4.0,Non contacte,"=IF(OR(E82<5, H82=""NON"", I82=""NON"", J82=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Belesta,,,18/04/2023,En cours,04 68 50 30 10,contact@riberach.com,N/D,"=IF(AND(H82=""OUI"", I82=""OUI"", J82=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
82,La Noë éco gîte,Servon-sur-Vilaine,France,11.0,Non contacte,"=IF(OR(E83<5, H83=""NON"", I83=""NON"", J83=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Servon-sur-Vilaine,,,17/04/2023,En cours,06 18 07 32 35,contact@ecogite-la-noe.fr,N/D,"=IF(AND(H83=""OUI"", I83=""OUI"", J83=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
83,La pause noble val,Saint-Antonin-Noble-Val,France,NON,Non contacte,"=IF(OR(E84<5, H84=""NON"", I84=""NON"", J84=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,Saint-Antonin-Noble-Val,,,17/04/2023,En cours,06 80 87 47 92,N/D (Formulaire),N/D,"=IF(AND(H84=""OUI"", I84=""OUI"", J84=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
84,La Péniche Saint-Louis,Toulouse,France,8.0,Non contacte,"=IF(OR(E85<5, H85=""NON"", I85=""NON"", J85=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,Toulouse,,,31/01/2024,En cours,07 61 92 39 57,contact@peniche-saint-louis.fr,N/D,"=IF(AND(H85=""OUI"", I85=""OUI"", J85=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
85,La petite écurie,Montseret,France,14.0,Non contacte,"=IF(OR(E86<5, H86=""NON"", I86=""NON"", J86=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Montseret,,,24/04/2025,En cours,+33428382530,N/D,N/D,"=IF(AND(H86=""OUI"", I86=""OUI"", J86=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
86,La planque des super-héros,Saint-Salvy,France,14.0,Non contacte,"=IF(OR(E87<5, H87=""NON"", I87=""NON"", J87=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Saint-Salvy,,,20/12/2024,En cours,+33 6 60 700 400,contact@my-happy.house,N/D,"=IF(AND(H87=""OUI"", I87=""OUI"", J87=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
87,La ville en rose,Colomiers,France,NON,Non contacte,"=IF(OR(E88<5, H88=""NON"", I88=""NON"", J88=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,Colomiers,,,17/04/2023,En cours,05 32 00 20 93,lavilleenrosetoulouse@gmail.com,N/D,"=IF(AND(H88=""OUI"", I88=""OUI"", J88=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
88,LBDR,Sauvagnon,France,NON,Non contacte,"=IF(OR(E89<5, H89=""NON"", I89=""NON"", J89=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,Sauvagnon,,,17/04/2023,En cours,06 51 01 77 75,lbdr@sfr.fr,N/D,"=IF(AND(H89=""OUI"", I89=""OUI"", J89=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
89,Le Boudoir d'Olympe,Montauban,France,13.0,Non contacte,"=IF(OR(E90<5, H90=""NON"", I90=""NON"", J90=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,Montauban,,,26/02/2024,En cours,06 75 64 81 55,leboudoirdolympe@gmail.com,N/D,"=IF(AND(H90=""OUI"", I90=""OUI"", J90=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
90,Le Chalet Cathare,Saissac,France,3.0,Non contacte,"=IF(OR(E91<5, H91=""NON"", I91=""NON"", J91=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Saissac,,,26/09/2025,En cours,06 87 29 88 82 / 04 68 24 44 49,contact@lechaletcathare.fr,N/D,"=IF(AND(H91=""OUI"", I91=""OUI"", J91=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
91,Le château de Valmy,Argelès-sur-Mer,France,7.0,Non contacte,"=IF(OR(E92<5, H92=""NON"", I92=""NON"", J92=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Argelès-sur-Mer,,,18/04/2023,En cours,04 68 81 25 70,contact@chateau-valmy.com,N/D,"=IF(AND(H92=""OUI"", I92=""OUI"", J92=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
92,Le Dolce Vita,Saint-Lary Soulan,France,4.0,Non contacte,"=IF(OR(E93<5, H93=""NON"", I93=""NON"", J93=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,NON,NON,, ,Voir, ,,, ,Saint-Lary Soulan,,,02/03/2026,En cours,+33 6 60 700 400,contact@my-happy.house,N/D,"=IF(AND(H93=""OUI"", I93=""OUI"", J93=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
93,Le Domaine d'Engrazac,Labastide d'Anjou,France,22.0,Non contacte,"=IF(OR(E94<5, H94=""NON"", I94=""NON"", J94=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Labastide d'Anjou,,,11/02/2023,En cours,06 98 00 25 32,bienvenue@ledomainedengrazac.com,N/D,"=IF(AND(H94=""OUI"", I94=""OUI"", J94=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
94,Le Domaine de Monda,Ayzac-Ost,France,15.0,Non contacte,"=IF(OR(E95<5, H95=""NON"", I95=""NON"", J95=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,NON,NON,, ,Voir, ,,, ,Ayzac-Ost,,,18/12/2024,En cours,06 98 31 79 61,philippe.risso@firea.com,N/D,"=IF(AND(H95=""OUI"", I95=""OUI"", J95=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
95,Le domaine du Belvédère,Lauzerte,France,24.0,Non contacte,"=IF(OR(E96<5, H96=""NON"", I96=""NON"", J96=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Lauzerte,,,03/11/2018,En cours,05 63 95 51 10,bienvenue@domainedubelvedere.com,N/D,"=IF(AND(H96=""OUI"", I96=""OUI"", J96=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
96,Le Doux Nid,Chanaz,France,5.0,Non contacte,"=IF(OR(E97<5, H97=""NON"", I97=""NON"", J97=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Chanaz,,,18/04/2023,En cours,04 79 63 22 14,le.doux.nid@gmail.com,N/D,"=IF(AND(H97=""OUI"", I97=""OUI"", J97=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
97,Le Fafarua Lodge,Tikehau,Polynésie française,NON,Non contacte,"=IF(OR(E98<5, H98=""NON"", I98=""NON"", J98=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,Tikehau,,,17/04/2023,En cours,+689 87 23 02 02,contact@fafarualodge.com,N/D,"=IF(AND(H98=""OUI"", I98=""OUI"", J98=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
98,Le Flacon de la Verrouille,Bruniquel,France,14.0,Non contacte,"=IF(OR(E99<5, H99=""NON"", I99=""NON"", J99=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,Bruniquel,,,01/06/2023,En cours,05 81 04 87 78 / 06 29 58 71 72,laverrouille@gmail.com,N/D,"=IF(AND(H99=""OUI"", I99=""OUI"", J99=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
99,Le gîte du Pigeonnier,Alzonne,France,5.0,Non contacte,"=IF(OR(E100<5, H100=""NON"", I100=""NON"", J100=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,NON,NON,, ,Voir, ,,, ,Alzonne,,,14/05/2024,En cours,06 22 94 60 46 / 06 12 89 05 69,anne.rigaud63@gmail.com,N/D,"=IF(AND(H100=""OUI"", I100=""OUI"", J100=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
100,Le Grand Bassin,Castelnaudary,France,14.0,Non contacte,"=IF(OR(E101<5, H101=""NON"", I101=""NON"", J101=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Castelnaudary,,,26/09/2024,En cours,07 67 95 35 88,legrandbassin@outlook.fr,N/D,"=IF(AND(H101=""OUI"", I101=""OUI"", J101=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
101,Le Hameau du Perrat,Lion-en-Sullias,France,10.0,Non contacte,"=IF(OR(E102<5, H102=""NON"", I102=""NON"", J102=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Lion-en-Sullias,,,20/12/2024,En cours,06 10 15 06 62,Lehameau@s-o-l.fr,N/D,"=IF(AND(H102=""OUI"", I102=""OUI"", J102=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
102,Le Jardin Secret & Au temps Suspendu,Montpezat (Gers),France,7.0,Non contacte,"=IF(OR(E103<5, H103=""NON"", I103=""NON"", J103=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Montpezat-de-Quercy,,,18/07/2025,En cours,06 59 50 07 89,lejardinsecret32@outlook.fr,N/D,"=IF(AND(H103=""OUI"", I103=""OUI"", J103=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
103,Le Manoir d'Amiel,Villegailhenc,France,20.0,Non contacte,"=IF(OR(E104<5, H104=""NON"", I104=""NON"", J104=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Villegailhenc,,,14/05/2024,En cours,06 88 57 16 21,manoiramiel@gmail.com,N/D,"=IF(AND(H104=""OUI"", I104=""OUI"", J104=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
104,Le Manoir de la Perrière,Messas,France,10.0,Non contacte,"=IF(OR(E105<5, H105=""NON"", I105=""NON"", J105=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,Messas,,,16/12/2024,En cours,06 85 46 14 45,marielabaroudeuse@gmail.com,N/D,"=IF(AND(H105=""OUI"", I105=""OUI"", J105=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
105,Le Moulin de Bouqueuil,SAINT LUBIN EN VERGONNOIS,France,17.0,Non contacte,"=IF(OR(E106<5, H106=""NON"", I106=""NON"", J106=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,SAINT LUBIN EN VERGONNOIS,,,13/11/2024,En cours,06 88 30 88 47,lemoulindebouqueuil@orange.fr,N/D,"=IF(AND(H106=""OUI"", I106=""OUI"", J106=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
106,Le Moulin de la Brevette,Arbigny,France,7.0,Non contacte,"=IF(OR(E107<5, H107=""NON"", I107=""NON"", J107=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Arbigny,,,10/04/2025,En cours,03 85 36 49 27,reception@moulindelabrevette.com,N/D,"=IF(AND(H107=""OUI"", I107=""OUI"", J107=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
107,Le Petit Hôtel du Flouka,Marrakech,Maroc,12.0,Non contacte,"=IF(OR(E108<5, H108=""NON"", I108=""NON"", J108=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Marrakech,,,18/04/2023,En cours,+212 6 64 49 26 60,leflouka@gmail.com,N/D,"=IF(AND(H108=""OUI"", I108=""OUI"", J108=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
108,Le Pré Carré,Saint-Lary Soulan,France,6.0,Non contacte,"=IF(OR(E109<5, H109=""NON"", I109=""NON"", J109=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,NON,NON,, ,Voir, ,,, ,Saint-Lary Soulan,,,02/03/2026,En cours,06 10 92 33 24,contact@stlarylocations.com,N/D,"=IF(AND(H109=""OUI"", I109=""OUI"", J109=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
109,Le Refuge Toulousain,Toulouse,France,15.0,Non contacte,"=IF(OR(E110<5, H110=""NON"", I110=""NON"", J110=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Toulouse,,,06/03/2024,En cours,07 69 77 64 60,lucas@monsieurspot.fr,N/D,"=IF(AND(H110=""OUI"", I110=""OUI"", J110=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
110,Le Vieux Pressoir,Dieffenthal,France,19.0,Non contacte,"=IF(OR(E111<5, H111=""NON"", I111=""NON"", J111=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Dieffenthal,,,04/11/2025,En cours,06 79 29 06 05,fgb.hospitalite@gmail.com,N/D,"=IF(AND(H111=""OUI"", I111=""OUI"", J111=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
111,Les 3 anges de Sigean,Sigean,France,21.0,Non contacte,"=IF(OR(E112<5, H112=""NON"", I112=""NON"", J112=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Sigean,,,27/05/2024,En cours,06 47 06 23 93,les3angesdesigean@gmail.com,N/D,"=IF(AND(H112=""OUI"", I112=""OUI"", J112=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
112,Les Bastides de Roquemaure,Roquemaure,France,15.0,Non contacte,"=IF(OR(E113<5, H113=""NON"", I113=""NON"", J113=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,NON,OUI,, ,Voir, ,,, ,Roquemaure,,,16/10/2024,En cours,07 82 45 96 97,lesbastidesderoquemaure81@gmail.com,N/D,"=IF(AND(H113=""OUI"", I113=""OUI"", J113=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
113,Les chalets du Bonheur,Les Houches,France,8.0,Non contacte,"=IF(OR(E114<5, H114=""NON"", I114=""NON"", J114=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Les Houches,,,16/12/2025,En cours,06 77 72 96 12,contact@chalets-du-bonheur.com,N/D,"=IF(AND(H114=""OUI"", I114=""OUI"", J114=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
114,Les chaumières de Fort Moville,Fort-Moville,France,10.0,Non contacte,"=IF(OR(E115<5, H115=""NON"", I115=""NON"", J115=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Fort-Moville,,,25/10/2025,En cours,06 52 73 59 76,o.saillant@free.fr,N/D,"=IF(AND(H115=""OUI"", I115=""OUI"", J115=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
115,Les Congères,Le Grand-Bornand,France,12.0,Non contacte,"=IF(OR(E116<5, H116=""NON"", I116=""NON"", J116=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Pernet-Mugnier,,,25/07/2025,En cours,04 50 52 83 37,info@lescongeres.com,N/D,"=IF(AND(H116=""OUI"", I116=""OUI"", J116=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
116,Les coulisses du château,Nègrepelisse,France,20.0,Non contacte,"=IF(OR(E117<5, H117=""NON"", I117=""NON"", J117=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Nègrepelisse,,,23/10/2023,En cours,06 84 60 05 86,lescoulissesduchateau@gmail.com,N/D,"=IF(AND(H117=""OUI"", I117=""OUI"", J117=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
117,Les Gîtes de Couet,Caumont,France,15.0,Non contacte,"=IF(OR(E118<5, H118=""NON"", I118=""NON"", J118=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,NON,OUI,, ,Voir, ,,, ,Caumont,,,01/02/2024,En cours,05 63 94 08 92 / 06 88 47 20 72,andreiseric@orange.fr,N/D,"=IF(AND(H118=""OUI"", I118=""OUI"", J118=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
