N°,Nom de l'établissement,Ville (Contact),Pays,Photos,Statut,Priorite,SITE WEB HH,DROPBOX,APPLICATION HH,Conseillés par Happy house,Écran connecté,Lien Backoffice,Lien Dropbox,Site_Perso,Adresse,CP,Ville (Propriété),Département,Région,Date de création,Statut closing,Téléphone Extrait,Email 1 Extrait,Email 2 Extrait
142,Ô trois puits,Laburgade,France,11.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Laburgade,,,18/06/2024,En cours,N/D,N/D,N/D
143,Ostalada 46,Reilhaguet,France,10.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Reilhaguet,,,16/05/2024,En cours,N/D,N/D,N/D
144,Parc Waechter,Molières,France,8.0,Non contacte,HAUTE,OUI,NON,OUI,, ,Voir, ,,, ,Molières,,,17/09/2025,En cours,N/D,N/D,N/D
145,Parc Waetcher,,,,,Non contacte,HAUTE,NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,+33428382530 / +33768264298,info@entegraps.eu,parcwaetcher@gmail.com
146,Propriété Cervantes,Toulouse,France,9.0,Non contacte,HAUTE,OUI,NON,NON,, ,Voir, ,,, ,Toulouse,,,29/01/2025,En cours,N/D,N/D,N/D
147,Regisland,Oderen,France,8.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Oderen,,,26/11/2025,En cours,N/D,N/D,N/D
148,Riad la porte du Bouregreg,Sale,Maroc,5.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Sale,,,11/05/2023,En cours,N/D,N/D,N/D
149,Riad Soleil du Monde,Amazraou,Maroc,4.0,Non contacte,HAUTE,OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Amazraou,,,11/05/2023,En cours,N/D,N/D,N/D
150,Suite 785,,,,,Non contacte,HAUTE,NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,N/D,N/D,N/D
151,Terra Rosa,Toulouse,France,15.0,Non contacte,MOYENNE,OUI,OUI,NON,, ,Voir,Voir,,, ,Toulouse,,,13/02/2025,En cours,N/D,N/D,N/D
152,The Happy Hamlet,Fauroux,France,22.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Fauroux,,,18/12/2023,En cours,N/D,N/D,N/D
153,Un air de famille,Faudoas,France,11.0,Non contacte,MOYENNE,OUI,OUI,NON,, ,Voir,Voir,,, ,Faudoas,,,09/05/2023,En cours,N/D,N/D,N/D
154,Un jardin en ville,Toulouse,France,7.0,Non contacte,MOYENNE,OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Toulouse,,,14/11/2023,En cours,N/D,N/D,N/D
155,Vanille Bourbon,Montauban,France,16.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Montauban,,,07/04/2025,En cours,+33455519200,N/D,N/D
156,Villa Agave,Leucate,France,19.0,Non contacte,MOYENNE,OUI,OUI,NON,, ,Voir,Voir,,, ,Leucate,,,10/06/2024,En cours,N/D,N/D,N/D
157,Villa Kalia,Puygaillard de Lomagne,France,20.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Puygaillard de Lomagne,,,10/06/2024,En cours,N/D,N/D,N/D
158,Villa Leva,Leucate,France,11.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Leucate,,,16/07/2024,En cours,N/D,N/D,N/D
159,Villa Maskali,Cuxac D'aude,France,26.0,Non contacte,MOYENNE,OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Cuxac D'aude,,,05/06/2024,En cours,N/D,N/D,N/D
160,Villa Musha,Pin-Balma,France,21.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Pin-Balma,,,03/07/2024,En cours,N/D,N/D,N/D
161,Votre terrasse au soleil,Toulouse,France,10.0,Non contacte,MOYENNE,OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Toulouse,,,11/02/2023,En cours,N/D,N/D,N/D
