N°,Nom de l'établissement,Ville (Contact),Pays,Photos,Statut,Priorite,SITE WEB HH,DROPBOX,APPLICATION HH,Conseillés par Happy house,Écran connecté,Lien Backoffice,Lien Dropbox,Site_Perso,Adresse,CP,Ville (Propriété),Département,Région,Date de création,Statut closing,Téléphone Extrait,Email 1 Extrait,Email 2 Extrait,Alerte Complétude
59,Loft d'Oc,Fabrezan,France,32.0,Publié (Conserver),"=IF(OR(E60<5, H60=""NON"", I60=""NON"", J60=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Fabrezan,,,18/12/2023,,06 03 38 55 13 / 04 68 75 40 87,loftdoc@gmail.com,N/D,"=IF(AND(H60=""OUI"", I60=""OUI"", J60=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
60,La pause noble val,Saint-Antonin-Noble-Val,France,NON,NO GO,"=IF(OR(E61<5, H61=""NON"", I61=""NON"", J61=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,Saint-Antonin-Noble-Val,,,17/04/2023,,06 80 87 47 92,N/D (Formulaire),N/D,"=IF(AND(H61=""OUI"", I61=""OUI"", J61=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
61,The Happy Hamlet,Fauroux,France,22.0,Publié (Conserver),"=IF(OR(E62<5, H62=""NON"", I62=""NON"", J62=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Fauroux,,,18/12/2023,,+33 7 71 73 94 36,suska@thehappyhamlet.com,N/D,"=IF(AND(H62=""OUI"", I62=""OUI"", J62=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
62,La colline de Boutiès,Labarthe,France,NON,NO GO,"=IF(OR(E63<5, H63=""NON"", I63=""NON"", J63=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,,,, ,,05 63 67 83 50,contact@collinedebouties.com,N/D,"=IF(AND(H63=""OUI"", I63=""OUI"", J63=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
63,NO GO - La colonelle,Vignec,France,8.0,NO GO - La colonelle,"=IF(OR(E64<5, H64=""NON"", I64=""NON"", J64=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,Vignec,,,23/01/2024,,05 62 39 50 88,accueil@vignec.fr,N/D,"=IF(AND(H64=""OUI"", I64=""OUI"", J64=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
64,NO GO - La ferme du Mounet,Eauze,France,NON,NO GO - La ferme du Mounet,"=IF(OR(E65<5, H65=""NON"", I65=""NON"", J65=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,Eauze,,,17/04/2023,,05 62 09 82 85,contact@ferme-de-mounet.com,N/D,"=IF(AND(H65=""OUI"", I65=""OUI"", J65=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
65,L'ecritvin,,,0,A décider (A appeler),"=IF(OR(E66<5, H66=""NON"", I66=""NON"", J66=""NON""), ""HAUTE"", ""MOYENNE"")",NON,NON,NON,,,,,,,,,11,,,En cours,N/D,N/D,N/D,"=IF(AND(H66=""OUI"", I66=""OUI"", J66=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
66,La jolie vie,Le Buisson de Cadouin,France,21.0,Publié (Conserver),"=IF(OR(E67<5, H67=""NON"", I67=""NON"", J67=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Le Buisson de Cadouin,,,16/05/2024,,06 70 10 00 05 / 06 09 41 09 10,bienvenue@lajolievie.fr,N/D,"=IF(AND(H67=""OUI"", I67=""OUI"", J67=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
67,La Bastide Rouge,Saint-Geniès-Bellevue,France,14.0,A décider (A appeler),"=IF(OR(E68<5, H68=""NON"", I68=""NON"", J68=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Saint-Geniès-Bellevue,,,31/01/2024,,06 80 80 72 87,olivia.geoffroy@yahoo.fr,N/D,"=IF(AND(H68=""OUI"", I68=""OUI"", J68=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
68,Les hauts de Jeanvert,Gaillac,France,23.0,Publié (Conserver),"=IF(OR(E69<5, H69=""NON"", I69=""NON"", J69=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Gaillac,,,26/02/2024,,07 80 16 15 27,contact@leshautsdejeanvert.fr,N/D,"=IF(AND(H69=""OUI"", I69=""OUI"", J69=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
69,NO GO - Le boudoir d'Olympe,Montauban,France,13.0,NO GO - Le boudoir d'Olympe,"=IF(OR(E70<5, H70=""NON"", I70=""NON"", J70=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,Montauban,,,26/02/2024,,06 75 64 81 55,leboudoirdolympe@gmail.com,N/D,"=IF(AND(H70=""OUI"", I70=""OUI"", J70=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
70,Le chateau d'Aigrefeuille,Aigrefeuille,France,21.0,Publié (Conserver),"=IF(OR(E71<5, H71=""NON"", I71=""NON"", J71=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Aigrefeuille,,,14/03/2024,,+33 6 11 31 36 28,chateaudaigrefeuille31@gmail.com,N/D,"=IF(AND(H71=""OUI"", I71=""OUI"", J71=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
71,Les gîtes du Daudou,Septfonds,France,17.0,Publié (Conserver),"=IF(OR(E72<5, H72=""NON"", I72=""NON"", J72=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Septfonds,,,21/03/2024,,06 25 65 24 85,gitesdudaudou@yahoo.com,N/D,"=IF(AND(H72=""OUI"", I72=""OUI"", J72=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
72,Domaine de Joucla,Alzonne,France,17.0,A décider (A appeler),"=IF(OR(E73<5, H73=""NON"", I73=""NON"", J73=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Alzonne,,,28/02/2024,,06 03 38 55 13,davidjdd@neuf.fr,N/D,"=IF(AND(H73=""OUI"", I73=""OUI"", J73=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
73,Le refuge toulousain,Toulouse,France,15.0,Publié (Conserver),"=IF(OR(E74<5, H74=""NON"", I74=""NON"", J74=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Toulouse,,,06/03/2024,,07 69 77 64 60,lucas@monsieurspot.fr,N/D,"=IF(AND(H74=""OUI"", I74=""OUI"", J74=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
74,NO GO - La Ferme de Miramont,Miramont-Sensacq,France,NON,NO GO - La Ferme de Miramont,"=IF(OR(E75<5, H75=""NON"", I75=""NON"", J75=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,Miramont-Sensacq,,,17/04/2023,,05 58 79 94 93 / 06 84 78 07 25,contact@lafermedemarsan.com,N/D,"=IF(AND(H75=""OUI"", I75=""OUI"", J75=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
75,Chateau St jacques D'albas,Laure-Minervois,France,19.0,Publié (Conserver),"=IF(OR(E76<5, H76=""NON"", I76=""NON"", J76=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Laure-Minervois,,,21/03/2024,,04 68 78 24 82,info@chateaustjacques.com,N/D,"=IF(AND(H76=""OUI"", I76=""OUI"", J76=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
76,L'atelier,Alzonne,France,10.0,A décider (A appeler),"=IF(OR(E77<5, H77=""NON"", I77=""NON"", J77=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Alzonne,,,17/04/2024,,06 22 94 60 46 / 06 12 89 05 69,anne.rigaud63@gmail.com,N/D,"=IF(AND(H77=""OUI"", I77=""OUI"", J77=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
77,Château les Estournels,Lendou en Quercy,France,52.0,Publié (Conserver),"=IF(OR(E78<5, H78=""NON"", I78=""NON"", J78=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Lendou en Quercy,,,12/04/2024,,07 83 23 39 36,chateaulesestournels@gmail.com,N/D,"=IF(AND(H78=""OUI"", I78=""OUI"", J78=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
78,Coeur de vigne - L'Écrin de la cité,,,0,Publié (Conserver),"=IF(OR(E79<5, H79=""NON"", I79=""NON"", J79=""NON""), ""HAUTE"", ""MOYENNE"")",NON,NON,NON,,,,,,,,,11,,,En cours,N/D,N/D,N/D,"=IF(AND(H79=""OUI"", I79=""OUI"", J79=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
79,Grand panorama - L'Écrin de la cité,,,0,Publié (Conserver),"=IF(OR(E80<5, H80=""NON"", I80=""NON"", J80=""NON""), ""HAUTE"", ""MOYENNE"")",NON,NON,NON,,,,,,,,,11,,,En cours,N/D,N/D,N/D,"=IF(AND(H80=""OUI"", I80=""OUI"", J80=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
80,La maison des artistes,Aragon,France,20.0,Publié (Conserver),"=IF(OR(E81<5, H81=""NON"", I81=""NON"", J81=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Aragon,,,14/05/2024,,04 68 11 40 70,contact.11@gites-sud.fr,N/D,"=IF(AND(H81=""OUI"", I81=""OUI"", J81=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
81,Le manoir d'amiel,Villegailhenc,France,20.0,A décider (A appeler),"=IF(OR(E82<5, H82=""NON"", I82=""NON"", J82=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Villegailhenc,,,14/05/2024,,06 88 57 16 21,manoiramiel@gmail.com,N/D,"=IF(AND(H82=""OUI"", I82=""OUI"", J82=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
82,Les 3 anges de Sigean,Sigean,France,21.0,A décider (A appeler),"=IF(OR(E83<5, H83=""NON"", I83=""NON"", J83=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Sigean,,,27/05/2024,,06 47 06 23 93,les3angesdesigean@gmail.com,N/D,"=IF(AND(H83=""OUI"", I83=""OUI"", J83=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
83,Castel Bois Marie,Montauban,France,20.0,Publié (Conserver),"=IF(OR(E84<5, H84=""NON"", I84=""NON"", J84=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Montauban,,,13/05/2024,,05 63 66 74 60 / 06 20 93 44 70,castel.boismarie@gmail.com,N/D,"=IF(AND(H84=""OUI"", I84=""OUI"", J84=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
84,Le domaine du chateau Marquefave,,,0,Publié (Conserver),"=IF(OR(E85<5, H85=""NON"", I85=""NON"", J85=""NON""), ""HAUTE"", ""MOYENNE"")",NON,NON,NON,,,,,,,,,31,,,En cours,N/D,N/D,N/D,"=IF(AND(H85=""OUI"", I85=""OUI"", J85=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
85,L'ostalada 46,Reilhaguet,France,10.0,Publié (Conserver),"=IF(OR(E86<5, H86=""NON"", I86=""NON"", J86=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Reilhaguet,,,16/05/2024,,+33 6 75 60 23 20,info@ostalada46.fr,N/D,"=IF(AND(H86=""OUI"", I86=""OUI"", J86=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
86,Villa Maskali,Cuxac D'aude,France,26.0,A décider (A appeler),"=IF(OR(E87<5, H87=""NON"", I87=""NON"", J87=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Cuxac D'aude,,,05/06/2024,,+33 6 33 87 99 91,contact@villamaskali.com,N/D,"=IF(AND(H87=""OUI"", I87=""OUI"", J87=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
87,Maison Agave,,,0,A supprimer par CnC (A supprimer),"=IF(OR(E88<5, H88=""NON"", I88=""NON"", J88=""NON""), ""HAUTE"", ""MOYENNE"")",NON,NON,NON,,,,,,,,,11,,,En cours,N/D,N/D,N/D,"=IF(AND(H88=""OUI"", I88=""OUI"", J88=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
88,Villa Kalia,Puygaillard de Lomagne,France,20.0,A décider (A appeler),"=IF(OR(E89<5, H89=""NON"", I89=""NON"", J89=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Puygaillard de Lomagne,,,10/06/2024,,06 61 35 46 41,nicolascarboni2a@gmail.com,N/D,"=IF(AND(H89=""OUI"", I89=""OUI"", J89=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
89,La maison des douceurs,Bussang,France,20.0,A décider (A appeler),"=IF(OR(E90<5, H90=""NON"", I90=""NON"", J90=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Bussang,,,18/06/2024,,06 75 64 37 12,alain@lamaisondesdouceurs.fr,N/D,"=IF(AND(H90=""OUI"", I90=""OUI"", J90=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
90,L'annicha,Montpezat-de-Quercy,France,21.0,Publié (Conserver),"=IF(OR(E91<5, H91=""NON"", I91=""NON"", J91=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Montpezat-de-Quercy,,,18/06/2024,,+33 (0)7 52 55 00 97,info@lannicha.com,N/D,"=IF(AND(H91=""OUI"", I91=""OUI"", J91=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
91,Ô trois Puits,Laburgade,France,11.0,Publié (Conserver),"=IF(OR(E92<5, H92=""NON"", I92=""NON"", J92=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Laburgade,,,18/06/2024,,07 52 63 20 55,otroispuits@gmail.com,N/D,"=IF(AND(H92=""OUI"", I92=""OUI"", J92=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
92,La Maison des Arcades,Verdun-sur-Garonne,France,NON,NO GO,"=IF(OR(E93<5, H93=""NON"", I93=""NON"", J93=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,Verdun-sur-Garonne,,,17/04/2023,,06 88 55 09 03,N/D,N/D,"=IF(AND(H93=""OUI"", I93=""OUI"", J93=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
93,D'ici et d'ailleurs,Baulou,France,21.0,Publié (Conserver),"=IF(OR(E94<5, H94=""NON"", I94=""NON"", J94=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Baulou,,,03/07/2024,,+33 6 78 66 05 84,contact@legitedicietdailleurs.com,N/D,"=IF(AND(H94=""OUI"", I94=""OUI"", J94=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
94,Villa Musha,Pin-Balma,France,21.0,Non contacte,"=IF(OR(E95<5, H95=""NON"", I95=""NON"", J95=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Pin-Balma,,,03/07/2024,,+33 6 80 90 49 71,bcbg1@hotmail.com,N/D,"=IF(AND(H95=""OUI"", I95=""OUI"", J95=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
95,Villa Leva,Leucate,France,11.0,A décider (jamais publié),"=IF(OR(E96<5, H96=""NON"", I96=""NON"", J96=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Leucate,,,16/07/2024,,06 28 80 44 68,franck.martin.lp@hotmail.fr,N/D,"=IF(AND(H96=""OUI"", I96=""OUI"", J96=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
96,L'ecrin sous les chênes,Gradignan,France,5.0,A décider (A appeler),"=IF(OR(E97<5, H97=""NON"", I97=""NON"", J97=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Gradignan,,,16/07/2024,,06 77 31 03 58,contact@ecrinsousleschenes.com,N/D,"=IF(AND(H97=""OUI"", I97=""OUI"", J97=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
97,NO GO  Autrement lieux de pause,Carnac,France,NON,NO GO  Autrement lieux de pause,"=IF(OR(E98<5, H98=""NON"", I98=""NON"", J98=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,,,, ,,06 82 83 19 08,guezello.francoise56@orange.fr,N/D,"=IF(AND(H98=""OUI"", I98=""OUI"", J98=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
98,4U Bed & Spa,Opoul-Perillos,France,1.0,Publié (Conserver),"=IF(OR(E99<5, H99=""NON"", I99=""NON"", J99=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Opoul-Perillos,,,26/07/2024,,+33 6 01 79 38 62,4ubedspa@gmail.com,N/D,"=IF(AND(H99=""OUI"", I99=""OUI"", J99=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
99,Le grand bassin,Castelnaudary,France,14.0,Publié (Conserver),"=IF(OR(E100<5, H100=""NON"", I100=""NON"", J100=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Castelnaudary,,,26/09/2024,,07 67 95 35 88,legrandbassin@outlook.fr,N/D,"=IF(AND(H100=""OUI"", I100=""OUI"", J100=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
100,Madame les Vans,Les Vans,France,15.0,A supprimer par CnC (Supprimer),"=IF(OR(E101<5, H101=""NON"", I101=""NON"", J101=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,Les Vans,,,26/09/2024,,06 58 10 27 79,madamelesvans@gmail.com,N/D,"=IF(AND(H101=""OUI"", I101=""OUI"", J101=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
101,Appartements Chalande,Toulouse,France,15.0,A supprimer par CnC (Supprimer),"=IF(OR(E102<5, H102=""NON"", I102=""NON"", J102=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,Toulouse,,,04/02/2025,,07 56 91 06 06,lesrelaisducapitole@gmail.com,N/D,"=IF(AND(H102=""OUI"", I102=""OUI"", J102=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
102,Propriété Cervantes,Toulouse,France,9.0,A supprimer par CnC (Supprimer),"=IF(OR(E103<5, H103=""NON"", I103=""NON"", J103=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,NON,NON,, ,Voir, ,,, ,Toulouse,,,29/01/2025,,07 79 77 75 13,mprohr.france@gmail.com,N/D,"=IF(AND(H103=""OUI"", I103=""OUI"", J103=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
103,Maison 56,,,0,A décider (A appeler),"=IF(OR(E104<5, H104=""NON"", I104=""NON"", J104=""NON""), ""HAUTE"", ""MOYENNE"")",NON,NON,NON,,,,,,,,,41,,,En cours,N/D,N/D,N/D,"=IF(AND(H104=""OUI"", I104=""OUI"", J104=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
104,Les Hauts de Rebelliou,Flourens,France,NON,A décider (A appeler),"=IF(OR(E105<5, H105=""NON"", I105=""NON"", J105=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,,,, ,,06 64 56 61 50,contact@leshautsdurebeillou.com,N/D,"=IF(AND(H105=""OUI"", I105=""OUI"", J105=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
105,Chez Pepe Merle,Paris,France,22.0,Publié (Conserver),"=IF(OR(E106<5, H106=""NON"", I106=""NON"", J106=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Paris,,,17/10/2024,,06 61 44 60 15,bienvenue@chezpepemerle.fr,N/D,"=IF(AND(H106=""OUI"", I106=""OUI"", J106=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
106,LBDR,Sauvagnon,France,NON,Publié (Conserver),"=IF(OR(E107<5, H107=""NON"", I107=""NON"", J107=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,Sauvagnon,,,17/04/2023,,06 51 01 77 75,lbdr@sfr.fr,N/D,"=IF(AND(H107=""OUI"", I107=""OUI"", J107=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
107,NO GO - Manoir la Perrière,,,0,NO GO - Manoir la Perrière,"=IF(OR(E108<5, H108=""NON"", I108=""NON"", J108=""NON""), ""HAUTE"", ""MOYENNE"")",NON,NON,NON,,,,,,,,,45,,,En cours,N/D,N/D,N/D,"=IF(AND(H108=""OUI"", I108=""OUI"", J108=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
108,Moulin de Bouqueuil,SAINT LUBIN EN VERGONNOIS,France,17.0,A décider (A appeler),"=IF(OR(E109<5, H109=""NON"", I109=""NON"", J109=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,SAINT LUBIN EN VERGONNOIS,,,13/11/2024,,06 88 30 88 47,lemoulindebouqueuil@orange.fr,N/D,"=IF(AND(H109=""OUI"", I109=""OUI"", J109=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
109,Bonfarto Locations,Urval,France,13.0,A décider (A appeler),"=IF(OR(E110<5, H110=""NON"", I110=""NON"", J110=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Urval,,,18/12/2024,,+33681046468 / +33428382530,legouzot.urval@gmail.com,info@entegraps.eu,"=IF(AND(H110=""OUI"", I110=""OUI"", J110=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
110,La planque des supers heros,,,0,A décider (A appeler),"=IF(OR(E111<5, H111=""NON"", I111=""NON"", J111=""NON""), ""HAUTE"", ""MOYENNE"")",NON,NON,NON,,,,,,,,,47,,,En cours,N/D,N/D,N/D,"=IF(AND(H111=""OUI"", I111=""OUI"", J111=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
111,Le Hameau du Perrat,Lion-en-Sullias,France,10.0,A décider (A appeler),"=IF(OR(E112<5, H112=""NON"", I112=""NON"", J112=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Lion-en-Sullias,,,20/12/2024,,06 10 15 06 62,Lehameau@s-o-l.fr,N/D,"=IF(AND(H112=""OUI"", I112=""OUI"", J112=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
112,Terra Rosa,Castelnau-de-Lévis,France,15.0,Publié (Conserver),"=IF(OR(E113<5, H113=""NON"", I113=""NON"", J113=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,Toulouse,,,13/02/2025,,06 50 62 18 21,mnfevents81@gmail.com,N/D,"=IF(AND(H113=""OUI"", I113=""OUI"", J113=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
113,Demeure Arcane,,,0,Publié (Conserver),"=IF(OR(E114<5, H114=""NON"", I114=""NON"", J114=""NON""), ""HAUTE"", ""MOYENNE"")",NON,NON,NON,,,,,,,,,31,,,En cours,N/D,N/D,N/D,"=IF(AND(H114=""OUI"", I114=""OUI"", J114=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
114,Vanille Bourbon,Montauban,France,16.0,Publié (Conserver),"=IF(OR(E115<5, H115=""NON"", I115=""NON"", J115=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Montauban,,,07/04/2025,,06 76 13 18 99,vanillebourbon82@gmail.com,N/D,"=IF(AND(H115=""OUI"", I115=""OUI"", J115=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
115,La Charmeraie,Thésée,France,10.0,Publié (Conserver),"=IF(OR(E116<5, H116=""NON"", I116=""NON"", J116=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Thésée,,,19/03/2025,,06 58 13 45 86,N/D (Formulaire),N/D,"=IF(AND(H116=""OUI"", I116=""OUI"", J116=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
116,La maison d'Elhora,Montréal-Les-Sources,France,19.0,Publié (Conserver),"=IF(OR(E117<5, H117=""NON"", I117=""NON"", J117=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Montréal-Les-Sources,,,24/03/2025,,+33428382530,info@entegraps.eu,N/D,"=IF(AND(H117=""OUI"", I117=""OUI"", J117=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
117,Chalet le Vertical,Les 2 Alpes,France,25.0,Publié (Conserver),"=IF(OR(E118<5, H118=""NON"", I118=""NON"", J118=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Les 2 Alpes,,,24/03/2025,,+33428382530,info@entegraps.eu,N/D,"=IF(AND(H118=""OUI"", I118=""OUI"", J118=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
118,Le moulin de la Brevette,Arbigny,France,7.0,Publié (Conserver),"=IF(OR(E119<5, H119=""NON"", I119=""NON"", J119=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Arbigny,,,10/04/2025,,03 85 36 49 27,reception@moulindelabrevette.com,N/D,"=IF(AND(H119=""OUI"", I119=""OUI"", J119=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
119,La ferme du voyageur,La Salle les Alpes,France,14.0,Publié (Conserver),"=IF(OR(E120<5, H120=""NON"", I120=""NON"", J120=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,La Salle les Alpes,,,23/04/2025,,+33428382530,info@entegraps.eu,N/D,"=IF(AND(H120=""OUI"", I120=""OUI"", J120=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
